label,latitude,longitude,thickness_min,thickness_max
Cz.1,-38.945090,-68.062678,0.1,0.2
Cz.3-Ag.2,-39.348770,-70.658409,0.1,0.4
Cz.4,-39.399936,-70.815439,0.2,0.4
Cz.5,-39.339167,-70.918533,0.2,0.4
Cz.6,-39.726483,-71.154867,2,2.5
Cz.7,-39.972582,-70.889204,2,3
Cz.8,-39.795086,-71.213658,2,2
Cz.9,-39.950234,-71.062392,3,3
Cz.10,-40.166989,-71.357610,2,3
Cz.11,-40.196592,-71.320863,2,3
Cz.12,-40.318581,-71.382274,2,3
Cz.13,-40.441417,-71.538567,2,3
Cz.14,-40.725400,-71.805533,2,2
Cz.15,-40.687840,-71.701631,2,2
Cz.16,-40.754954,-71.593252,2,2
Cz.17,-39.963014,-70.006001,1,1
Cz.18,-39.285325,-68.866168,1,1
Cz.19,-40.574095,-70.792558,0.01,0.01
Cz.n.a.1,-41.131683,-71.186844,0.01,0.01
Cz.n.a.2,-40.762103,-71.090327,1,1
Cz.n.a.3,-40.079822,-71.141485,2,2
Cz.n.a.4,-39.667000,-70.960000,0.4,0.5
Cz.n.a.5,-38.903162,-70.064901,0.1,0.2
CAL002,-41.23819,-70.10676,1,1
CAL003,-41.11337,-70.21082,0.1,0.3
CAL006,-40.50263,-69.69680,0.1,0.3
CAL020,-40.65077,-71.41264,0.1,0.2
CAL021,-40.69097,-71.29157,0.05,0.1
CAL022,-40.71855,-71.13962,0.05,0.05
CAL023,-41.04047,-71.23115,0.05,0.1
CAL024,-40.95241,-71.35374,0.1,0.1
CAL025,-40.83944,-71.53837,0.15,0.2
CAL026,-40.78127,-71.66182,0.3,0.3
CAL027,-40.64742,-71.70269,0.2,0.2
CAL028,-40.60521,-71.69151,0.1,0.3
CAL029,-40.52037,-71.64826,0.1,0.4
CAL030,-40.40227,-71.48824,0.1,0.5
CAL031,-40.20026,-71.32473,0.4,0.5
CAL032,-40.16347,-71.34692,0.5,1
CAL034,-40.09972,-71.15555,0.5,1
CAL035,-39.89975,-71.06560,0.5,0.6
CAL036,-39.58953,-71.42994,0.5,0.8
CAL037,-39.61825,-71.33825,0.4,0.5
CAL038,-39.66339,-71.24297,0.4,0.6
CAL039,-39.72122,-71.16008,1.5,1.5
CAL040,-39.76331,-71.08110,0.5,0.5
CAL041,-39.74810,-71.01517,0.5,0.5
CAL042,-39.69307,-70.99938,0.5,0.5
CAL043,-39.66195,-70.96742,0.7,0.8
CAL044,-39.59691,-70.93394,1,1
CAL045,-39.53528,-70.95473,0.3,0.4
CAL046,-39.48536,-70.94678,0.1,0.2
CAL047,-39.41470,-70.93404,0.1,0.2
CAL048,-39.34758,-70.91954,0.1,0.2
CAL049,-39.26333,-70.91908,0.1,0.1
CAL050,-39.23732,-70.91403,0.1,0.1
CAL051,-39.37687,-71.07809,0.1,0.2
CAL052,-39.39731,-70.80885,0.1,0.2
CAL053,-39.43529,-70.64666,0.2,0.2
CAL054,-39.56997,-70.59151,0.8,0.9
CAL055,-39.71567,-70.57543,0.8,0.8
CAL056,-39.82809,-70.63155,0.9,0.9
CAL057,-39.92765,-70.73483,1,1.1
CAL058,-39.99952,-70.82349,0.8,1
CAL059,-39.93868,-70.94385,1.5,1.5
CAL060,-39.94617,-71.08036,1,2
CAL061,-39.79057,-71.21731,0.9,1
CAL062,-39.88676,-71.15674,0.7,1.4
CAL063,-39.71822,-70.41903,0.5,0.7
CAL064,-39.60029,-70.36658,0.5,0.5
CAL065,-39.52538,-70.31474,0.3,0.4
CAL066,-39.47110,-70.22226,0.3,0.3
CAL067,-39.47271,-70.12550,0.1,0.2
CAL068,-39.51447,-70.03086,0.1,0.1
CAL069,-39.59336,-69.98307,0.1,0.1
CAL070,-39.66790,-69.99577,0.1,0.1
CAL071,-39.40459,-70.16193,0.1,0.1
CAL072,-39.33119,-70.12599,0.1,0.1
CAL073,-39.27326,-70.06033,0.05,0.05
CAL074,-39.34167,-69.81500,0.05,0.05
CAL075,-39.38303,-69.65683,0.05,0.05
CAL076,-39.49206,-69.51398,0.05,0.05
CAL077,-39.54575,-69.31080,0.05,0.05
CAL078,-39.67488,-69.45109,0.05,0.05
CAL079,-39.76990,-69.65206,0.05,0.05
CAL080,-39.86942,-69.83678,0.1,0.1
CAL081,-39.98137,-70.04302,0.1,0.2
CAL082,-40.05910,-70.09254,0.2,0.2
CAL083,-40.15385,-70.26350,0.3,0.3
CAL084,-40.29553,-70.39400,0.2,0.2
CAL085,-40.41605,-70.55576,0.1,0.1
CAL086,-40.37563,-70.65471,0.1,0.1
CAL087,-40.20834,-70.65648,0.3,0.3
CAL088,-40.08028,-70.76861,0.7,1.2
CAL089,-40.08469,-71.29980,0.4,0.5
CAL091,-39.96970,-71.25308,0.5,0.7
CAL093,-39.95690,-71.19566,0.11,0.12
CAL094,-39.98467,-71.09045,0.9,1.5
CAL095,-40.10565,-70.98700,0.5,0.6
CAL096,-40.08805,-70.88406,0.5,0.5
CAL097,-40.11258,-70.82991,0.4,0.5
CAL098,-40.12654,-71.38006,0.1,0.2
CAL099,-40.13332,-71.46459,0.1,0.2
CAL100,-40.15924,-71.53774,0.1,0.1
CAL101,-40.13193,-71.64309,0.1,0.1
CAL102,-41.14622,-72.42059,6.5,7
CAL104,-41.30900,-72.44892,5,5
CAL105,-41.28200,-72.47410,20,21
