label,latitude,longitude,thickness_max,thickness_min
C1,-41.2195,-72.5447,18.0,18.0
C2,-41.2071,-72.5399,13.0,13.0
C3,-41.2284,-72.5161,23.0,23.0
C4,-41.2955,-72.5608,58.0,58.0
C5,-41.2030,-72.5384,16.0,16.0
C6,-41.3728,-72.3252,0.20,0.20
C7,-39.2743,-71.9721,0.10,0.10
C8,-40.1304,-72.3862,0.01,0.01
C9,-40.3203,-72.2070,0.10,0.10
C10,-39.8732,-71.8932,0.20,0.20
C11,-36.7456,-72.4716,0.03,0.03
C12,-38.9423,-72.0277,0.05,0.05
C13,-38.8520,-71.6934,0.10,0.10
C14,-38.4407,-71.8917,0.05,0.05
C15,-39.6429,-72.3369,0.10,0.10
C16,-40.3224,-72.4813,0.05,0.05
C17,-40.4178,-72.7877,0.00,0.00
C18,-41.4719,-72.9366,0.01,0.01
C19,-39.3587,-71.5872,0.02,0.02
C20,-38.0715,-70.6132,0.01,0.01
C21,-37.8677,-71.0523,0.01,0.01
C22,-36.7456,-72.4716,0.03,0.03
C23,-36.7516,-73.0802,0.01,0.01
C24,-41.1401,-71.2988,0.10,0.10
C25,-40.1551,-71.3542,0.50,0.50
C26,-39.1011,-67.5773,0.01,0.01
C27,-38.9534,-68.0676,0.01,0.01
C28,-40.0511,-70.0835,0.20,0.20
C29,-40.1414,-70.7108,1.30,1.30
C30,-39.9727,-70.8892,1.30,1.30
C31,-39.9498,-71.0737,1.50,1.50
C32,-40.7285,-71.8087,0.50,0.50
C33,-40.7251,-71.7826,0.50,0.50
C34,-40.7123,-71.7903,0.40,0.40
C35,-40.0864,-71.1366,0.02,0.02
C36,-40.2202,-71.3624,0.40,0.40
C37,-40.1212,-71.2305,0.40,0.40
C38,-40.4901,-71.5993,0.20,0.20
C39,-40.6294,-71.6617,0.20,0.20
C40,-40.7957,-71.5927,0.20,0.20
C41,-40.7812,-71.6618,0.30,0.30
C42,-40.7238,-71.0936,0.01,0.01
C43,-41.0407,-71.2316,0.10,0.10
C44,-40.9556,-71.3511,0.10,0.10
C45,-40.8397,-71.5399,0.20,0.20
